id,location,wage_per_week,housing_offered,female,job_id,industry_id,profile_id,image
45,Connecticut,12.00,FALSE,FALSE,1,1,8,"""https://www.agclassroom.org/gan/timeline/pictures/1840_gov.jpg"""
37,Iowa,10.00,FALSE,FALSE,2,1,4,"""https://i.ytimg.com/vi/SI9K8ZJqAwE/maxresdefault.jpg"""
50,New Mexico,14.00,TRUE,FALSE,9,1,7,"""https://s.hdnux.com/photos/44/15/75/9494345/5/gallery_medium.jpg"""
57,Montana,16.50,FALSE,FALSE,9,1,9,"""https://www.agclassroom.org/gan/timeline/pictures/1840_gov.jpg"""
38,New Hampshire,10.00,TRUE,TRUE,11,6,1,"""https://www.officemuseum.com/IMagesWWW/1900_Minnesota_1900_pf071612_OM.JPG"""
41,New Jersey,10.00,TRUE,TRUE,11,6,1,"""https://www.officemuseum.com/IMagesWWW/1900_Minnesota_1900_pf071612_OM.JPG"""
48,Colorado,13.50,TRUE,TRUE,11,6,1,"""https://www.officemuseum.com/IMagesWWW/1900_Minnesota_1900_pf071612_OM.JPG"""
39,Massachusetts,10.00,FALSE,TRUE,11,6,2,"""https://www.officemuseum.com/IMagesWWW/1900_Minnesota_1900_pf071612_OM.JPG"""
46,Arizona,12.50,FALSE,TRUE,11,6,2,"""https://www.officemuseum.com/IMagesWWW/1900_Minnesota_1900_pf071612_OM.JPG"""
49,Oregon,13.50,TRUE,TRUE,11,6,2,"""https://www.officemuseum.com/IMagesWWW/1900_Minnesota_1900_pf071612_OM.JPG"""
40,New York,10.00,FALSE,TRUE,11,6,3,"""http://www.capitalcentury.com/Team.jpg"""
43,California,12.00,FALSE,TRUE,11,6,3,"""http://www.capitalcentury.com/Team.jpg"""
56,Idaho,15.75,TRUE,TRUE,11,6,3,"""https://i.pinimg.com/originals/31/98/22/3198224efac5dfceef6be3654562c16c.jpg"""
54,Washnigton,15.25,FALSE,FALSE,13,4,5,"""https://libcom.org/files/images/history/glassfactory.jpg"""
55,Utah,15.50,FALSE,FALSE,15,6,6,"""https://www.officemuseum.com/IMagesWWW/1900_Minnesota_1900_pf071612_OM.JPG"""
18,Mississippi,7.25,FALSE,FALSE,16,2,8,"""https://www.thevintagenews.com/wp-content/uploads/2016/07/A-typical-Birmingham-messenger-640x452.jpg"""
19,Arkansas,7.35,FALSE,FALSE,16,2,9,"""https://www.thevintagenews.com/wp-content/uploads/2016/07/A-typical-Birmingham-messenger-640x452.jpg"""
1,Florida,3.15,TRUE,TRUE,36,2,1,"""https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Butlerveracruz.jpg/250px-Butlerveracruz.jpg"""
4,South Dakota,5.00,TRUE,TRUE,36,2,1,"""https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Butlerveracruz.jpg/250px-Butlerveracruz.jpg"""
9,Nebraska,6.00,FALSE,TRUE,36,2,1,"""https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Butlerveracruz.jpg/250px-Butlerveracruz.jpg"""
16,Missouri,6.75,TRUE,TRUE,36,2,1,"""https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Butlerveracruz.jpg/250px-Butlerveracruz.jpg"""
2,Maryland,4.15,TRUE,TRUE,36,2,2,"""https://www.thesocialhistorian.com/wp-content/uploads/2016/07/Laundress.jpg"""
5,Louisiana,5.15,FALSE,TRUE,36,2,2,"""https://3.bp.blogspot.com/-CRZA37ZMiX4/Wj8q2-_jHDI/AAAAAAAAO0s/gJSNagJs2NADfTpkqbjHOYf6k4dR4VHuACLcBGAs/s1600/rat_catchers.jpg"""
10,Tennessee,6.15,FALSE,TRUE,36,2,2,"""https://3.bp.blogspot.com/-CRZA37ZMiX4/Wj8q2-_jHDI/AAAAAAAAO0s/gJSNagJs2NADfTpkqbjHOYf6k4dR4VHuACLcBGAs/s1600/rat_catchers.jpg"""
