primary_key,industry_id,name,skill_level,work_environment,apprenticeship,educated,age,gender,travel,start_avg_wage_per_week,end_avg_wage_per_week,low_hours_of_work,high_hours_of_work,days_of_week,job_openings,job_score,job_description
75,6,Aeronauts,professional,unweathered,TRUE,none,adults,male,home,$9.50,$16.70,10,12,Mon_Sat,5,15,travels or drives a hot-air balloon or any other kind of flying craft at the tiime.
82,1,agricultural Laborers,unskilled,weathered,FALSE,none,adults,male,home,$7.50,$9.25,10,12,Mon_Sat,25,69,workers skilled in all the different jobs required in agriculture.
86,6,Apprentice,unskilled,mixed,TRUE,high school,family,male,home,$5.00,$13.00,8,10,Mon_Sat,30,15,workers who learned the trade while working at a discount
87,2,Apprentice,unskilled,mixed,TRUE,high school,family,male,home,$5.00,$13.00,8,10,Mon_Sat,30,38,workers who learned the trade while working at a discount
88,3,Apprentice,unskilled,mixed,TRUE,high school,family,male,home,$5.00,$13.00,8,10,Mon_Sat,30,57,workers who learned the trade while working at a discount
89,4,Apprentice,unskilled,mixed,TRUE,high school,family,male,home,$5.00,$13.00,8,10,Mon_Sat,30,79,workers who learned the trade while working at a discount
90,5,Apprentice,unskilled,mixed,TRUE,high school,family,male,home,$5.00,$13.00,8,10,Mon_Sat,30,77,workers who learned the trade while working at a discount
52,4,Architect,kindred,unweathered,TRUE,none,adults,both,home,$14.00,$17.00,10,12,Mon_Sat,2,15,someone who designs buildings and in many cases also builds the building themselves with the help of others.
59,3,Auctioneers,skilled,unweathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Mon_Sat,5,39,conducts auctions by accepting bids and declaring when somethiing is sold. Common auctions are bidding for horses and donkeys for farm work as well as other aniimals.
72,6,Authors,professional,unweathered,FALSE,none,adults,both,home,$9.50,$16.70,10,12,Mon_Sat,1,14,"people who write books or letters, notes, essays, narratives, etc."
68,3,Baggagemen,unskilled,weathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Everyday,14,76,people or attendents who took care of baggage. They made sure that all and everyone's baggage was taken care of.
33,2,Barbers,skilled,unweathered,TRUE,none,adults,male,home,$5.00,$8.00,10,12,Mon_Sat,3,37,someone who cuts hair and shaves/trims beards as a job
38,2,bellhop,semiskilled,unweathered,FALSE,none,adults,male,home,$5.00,$8.00,10,12,Mon_Sat,10,36,"a man or a boy employed in a hotel, club. to carry luggage and answer calls for service."
47,4,Blacksmiths,kindred,unweathered,TRUE,none,adults,male,home,$13.50,$17.00,10,12,Mon_Sat,1,69,"persona who makes and repairs things in iron by hand. Blacksmiths make iron and steel tools, but the most well known object that they create is horseshoes."
17,2,Boarding/lodging house keepers,professional,unweathered,FALSE,none,adults,both,home,$4.00,$8.00,10,12,Mon_Sat,1,16,"Owners of managers of lodging/boarding houses. A lodging/boarding house held persons being strangers to one another, that is, not being of the same family, and promiscuously brought together, are allowed to occupy the same room’"
8,4,bookbinders,semiskilled,unweathered,TRUE,none,adults,both,home,$7.50,$11.50,10,12,Everyday,3,72,"Attach endpapers to tops and bottoms of book bodies, using sewing machines, or glue endpapers and signatures together along spines, using brushes or glue machines."
53,3,Bookkeepers,skilled,unweathered,FALSE,none,adults,both,home,$9.00,$13.50,10,12,Mon_Sat,1,41,keep the financial records for a business up to date.
35,2,Butlers,skilled,unweathered,TRUE,none,adults,male,home,$5.00,$8.00,10,12,Mon_Sat,2,35,main male servant in the home of a wealthy person. Usually responsiblie for serving food and in charge of the kitchen.Some butlers tend gardens and drive weathly people where they want to go.
2,1,cabinetmakers,kindred,unweathered,TRUE,none,adults,male,home,$13.50,$17.00,12,18,Everyday,3,72,"specialized trade making high quality furniture. Popular items included tables, chairs, and desks."
48,4,Carpenters,kindred,mixed,TRUE,none,adults,male,home,$13.00,$17.00,10,12,Mon_Sat,4,74,"person who makes and repairs wooden objects and structures. Some things carpenters make include: cabinents, houses, doors, window structures, and even floors."
54,3,Cashiers,semiskilled,unweathered,FALSE,none,adults,both,home,$9.00,$13.50,10,12,Mon_Sat,10,41,"handles payments and receipts in a store, bank, or other business."
